Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
MER 76,156.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
MER 77,156.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
SOS E,161.300000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
SOS A,163.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU01,430.025000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU01R,431.625000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU02,430.050000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU03,430.075000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU04,430.100000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU05,430.125000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU05R,431.725000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU06,430.150000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU06H,430.150000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU07,430.175000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU08,430.200000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU08H,430.200000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU09,430.225000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU10,430.250000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU11,430.275000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU12,430.300000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU13,430.325000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU13H,430.325000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU14,430.350000,+,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU14H,430.350000,+,9.400000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
RU225,432.812500,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
RU226,432.825000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU17,433.025000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU18,433.050000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU19,433.075000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU20,433.100000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU21,433.125000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU22,433.150000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
FRU23,433.175000,-,1.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 1.1,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 2.1,446.018750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 333,446.031250,,0.000000,TSQL,210.7,210.7,023,NN,NFM,5.00,,,,,,
PMR 3.1,446.031250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 4.1,446.043750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 5.1,446.056250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 6.1,446.068750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 7.1,446.081250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
PMR 7.7,446.081250,,0.000000,TSQL,85.4,85.4,023,NN,NFM,5.00,,,,,,
PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
PMR 8.1,446.093750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
SOS UA,463.100000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
P-ROUG1,465.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
P-ROUG2,465.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
